iteration,f_value
1,409.6959297242413
2,232.09802279365383
3,189.39400698044977
4,162.9350310159866
5,75.23631162161848
6,20.16433588656766
7,6.891711676998984
8,2.1900294491739256
9,0.7171764239225348
10,0.23216297044462203
11,0.07549644102084725
12,0.024511287544463956
13,0.007965034507594091
14,0.0025886227295627688
15,0.0008419740408043409
16,0.000274199834544293
17,8.95062043181755e-05
18,2.9341956665193528e-05
19,9.694490309144675e-06
20,3.2490393104283075e-06
21,1.1168648494991888e-06
22,4.0062097772109624e-07
23,1.531279161915617e-07
24,6.31123878004648e-08
25,2.7344428896273686e-08
26,1.1221968373308496e-08
27,3.9068076678617524e-09
28,2.8314488289246554e-09
29,2.8180066116452145e-09
30,2.817729703415053e-09
31,2.8176987419792878e-09
32,2.8176710969667967e-09
33,2.817643499167442e-09
34,2.817615902430686e-09
35,2.8175883061085943e-09
36,2.817560710192057e-09
37,2.8175331146809385e-09
38,2.817505519575227e-09
39,2.817477924874918e-09
40,2.8174503305800026e-09
41,2.8174227366904716e-09
42,2.8173951432063184e-09
43,2.8173675501275324e-09
44,2.8173399574541097e-09
45,2.8173123651860385e-09
46,2.817284773323314e-09
47,2.817257181865927e-09
48,2.81722959081387e-09
49,2.817202000167135e-09
50,2.8171744099257123e-09
51,2.8171468200895955e-09
52,2.8171192306587757e-09
53,2.8170916416332475e-09
54,2.817064053013e-09
55,2.8170364647980255e-09
56,2.8170088769883176e-09
57,2.816981289583869e-09
58,2.8169537025846687e-09
59,2.8169261159907108e-09
60,2.8168985298019878e-09
61,2.8168709440184906e-09
62,2.8168433586402115e-09
63,2.8168157736671433e-09
64,2.816788189099278e-09
65,2.8167606049366067e-09
66,2.8167330211791214e-09
67,2.8167054378268156e-09
68,2.8166778548796807e-09
69,2.8166502723377083e-09
70,2.816622690200892e-09
71,2.8165951084692203e-09
72,2.816567527142689e-09
73,2.816539946221287e-09
74,2.8165123657050105e-09
75,2.8164847855938473e-09
76,2.8164572058877934e-09
77,2.816429626586837e-09
78,2.816402047690973e-09
79,2.8163744692001913e-09
80,2.816346891114487e-09
